keyword,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
800,27,-0.19,0.54,0.75,0.71
8000,27,-0.19,0.54,0.61,0.86
88,27,-0.19,0.54,0.83,0.66
8m,27,-0.19,0.54,0.52,0.93
9,27,-0.19,0.54,0.68,0.82
90pc,25,-0.18,0.39,0.55,0.90
91pc,25,-0.18,0.39,0.51,0.88
a,9,-0.15,0.55,0.50,0.94
a220,36,-0.10,0.57,0.73,0.91
a320,36,-0.10,0.57,0.68,0.93
a320-aircraft,36,-0.10,0.57,0.72,0.87
a320-family-aircraft,36,-0.10,0.57,0.56,0.93
a320neo,36,-0.10,0.57,0.65,0.95
a321neo,36,-0.10,0.57,0.70,0.91
a321neos,36,-0.10,0.57,0.62,0.89
a321xlr-aircraft,36,-0.10,0.57,0.56,0.93
a330,36,-0.10,0.57,0.71,0.92
a330neo,36,-0.10,0.57,0.69,0.92
a330s,36,-0.10,0.57,0.71,0.86
a340,0,-0.11,0.56,0.62,0.97
a350,36,-0.10,0.57,0.70,0.95
a350f,36,-0.10,0.57,0.52,0.93
a380,36,-0.10,0.57,0.76,0.92
a380s,36,-0.10,0.57,0.71,0.89
aai,15,-0.18,0.43,0.52,0.94
aal,15,-0.18,0.43,0.61,0.85
abandon,26,-0.14,0.56,0.69,0.80
abate,28,-0.19,0.48,0.52,0.98
abbas,31,-0.17,0.48,0.64,0.93
abiy-ahmed,30,-0.13,0.56,0.66,0.84
abnormal,32,-0.17,0.52,0.51,0.93
abnormality,11,-0.18,0.46,0.56,0.90
aboard,34,-0.17,0.50,0.52,0.97
abolish,26,-0.14,0.56,0.57,0.87
abrupt,32,-0.17,0.52,0.50,1.00
abs,12,-0.15,0.52,0.50,0.95
absolute-emissions,37,-0.11,0.58,0.55,0.90
absorb,26,-0.14,0.56,0.66,0.85
absorbing,16,-0.21,0.42,0.51,0.89
acb,15,-0.18,0.43,0.52,0.91
accede,26,-0.14,0.56,0.62,0.83
accelerate,26,-0.14,0.56,0.57,0.95
accelerated-recovery,6,-0.14,0.54,0.57,0.90
accelerating,19,-0.17,0.51,0.52,0.94
acceleration,6,-0.14,0.54,0.63,0.92
accentuate,26,-0.14,0.56,0.56,0.91
accept,26,-0.14,0.56,0.72,0.77
acceptable,21,-0.18,0.50,0.69,0.90
access,26,-0.14,0.56,0.52,0.93
accessibility,19,-0.17,0.51,0.64,0.84
accessible,21,-0.18,0.50,0.61,0.87
access-road,29,-0.12,0.59,0.57,0.95
accident,11,-0.18,0.46,0.57,0.97
accommodate,26,-0.14,0.56,0.64,0.79
accommodation,17,-0.17,0.48,0.55,0.96
accompany,26,-0.14,0.56,0.66,0.75
accomplish,26,-0.14,0.56,0.72,0.74
accord,30,-0.13,0.56,0.52,0.94
accumulate,26,-0.14,0.56,0.57,0.91
accurate,21,-0.18,0.50,0.64,0.88
ace,34,-0.17,0.50,0.58,0.93
achieve,26,-0.14,0.56,0.65,0.87
aci,15,-0.18,0.43,0.56,0.87
acknowledge,26,-0.14,0.56,0.62,0.88
acmi,36,-0.10,0.57,0.51,0.93
activate,26,-0.14,0.56,0.68,0.78
active,21,-0.18,0.50,0.53,0.90
activity,6,-0.14,0.54,0.54,0.92
actor,34,-0.17,0.50,0.55,0.97
actress,34,-0.17,0.50,0.54,0.95
actually,9,-0.15,0.55,0.62,0.89
actuation,4,-0.17,0.43,0.59,1.00
actuator,12,-0.15,0.52,0.63,0.91
actuators,4,-0.17,0.43,0.60,1.00
adapt,26,-0.14,0.56,0.67,0.86
adaptation,19,-0.17,0.51,0.55,0.90
adaptive,19,-0.17,0.51,0.57,0.97
add,26,-0.14,0.56,0.73,0.77
additional-air,0,-0.11,0.56,0.51,0.97
additional-aircraft,36,-0.10,0.57,0.54,0.99
additional-budget,2,-0.20,0.46,0.55,0.91
additional-flight,36,-0.10,0.57,0.63,0.94
additional-frequency,36,-0.10,0.57,0.54,0.97
additional-travel,17,-0.17,0.48,0.51,0.92
additional-trip,11,-0.18,0.46,0.53,0.91
additive,4,-0.17,0.43,0.54,0.99
additive-manufacturing,19,-0.17,0.51,0.58,0.96
additive-manufacturing-technology,4,-0.17,0.43,0.58,0.89
address,26,-0.14,0.56,0.62,0.85
adel,38,-0.14,0.48,0.58,0.88
adequate,21,-0.18,0.50,0.51,0.89
adhere,26,-0.14,0.56,0.69,0.78
adhesive,12,-0.15,0.52,0.71,0.83
adhikari,31,-0.17,0.48,0.56,0.89
adityanath,31,-0.17,0.48,0.52,0.97
adjust,26,-0.14,0.56,0.68,0.83
adjusted-ebit,13,-0.20,0.50,0.58,0.91
adjusted-ebitda,13,-0.20,0.50,0.53,0.90
adjustment,2,-0.20,0.46,0.56,0.90
adm,31,-0.17,0.48,0.56,0.92
administration,2,-0.20,0.46,0.57,0.97
administration-building,38,-0.14,0.48,0.57,0.84
administrator,31,-0.17,0.48,0.64,0.88
admit,26,-0.14,0.56,0.60,0.91
adnan,31,-0.17,0.48,0.54,0.89
adopt,26,-0.14,0.56,0.71,0.78
adp,15,-0.18,0.43,0.52,0.87
adriatic,24,-0.16,0.46,0.58,0.95
ads,18,-0.20,0.45,0.52,0.94
ads-b,0,-0.11,0.56,0.63,0.92
advance,26,-0.14,0.56,0.55,0.93
advanced-3d,4,-0.17,0.43,0.58,0.83
advanced-aircraft,0,-0.11,0.56,0.60,0.88
advanced-air-mobility,0,-0.11,0.56,0.54,0.97
advanced-application,4,-0.17,0.43,0.52,0.90
advanced-avionics,0,-0.11,0.56,0.65,0.94
advanced-communication,4,-0.17,0.43,0.53,0.91
advanced-connectivity,4,-0.17,0.43,0.66,0.87
advanced-feature,4,-0.17,0.43,0.56,0.91
advanced-infrastructure,19,-0.17,0.51,0.55,0.96
advanced-manufacturing,35,-0.17,0.47,0.66,0.99
advanced-material,4,-0.17,0.43,0.55,0.90
advanced-materials,19,-0.17,0.51,0.55,0.99
advanced-sensing,4,-0.17,0.43,0.61,0.90
advanced-software,4,-0.17,0.43,0.57,0.98
advanced-technology,19,-0.17,0.51,0.68,0.87
advancement,19,-0.17,0.51,0.62,0.88
advancing,19,-0.17,0.51,0.52,0.90
adventure,34,-0.17,0.50,0.60,0.88
adverse-weather,20,-0.14,0.55,0.56,0.92
advertising-market,6,-0.14,0.54,0.56,0.94
adviser,31,-0.17,0.48,0.59,0.96
advocacy,19,-0.17,0.51,0.50,0.92
aegean,24,-0.16,0.46,0.52,0.98
aegean-airlines,36,-0.10,0.57,0.65,0.85
aerial,0,-0.11,0.56,0.57,0.94
aerial-tour,11,-0.18,0.46,0.54,0.88
aerial-vehicle,0,-0.11,0.56,0.77,0.76
aero,15,-0.18,0.43,0.51,0.96
aerodrome,0,-0.11,0.56,0.62,0.98
aerodynamic,12,-0.15,0.52,0.58,0.96
aerodynamically,12,-0.15,0.52,0.59,0.94
aerodynamic-stall,11,-0.18,0.46,0.51,0.95
aeroexpress,22,0.37,0.21,0.54,0.63
aeromexico,36,-0.10,0.57,0.69,0.90
aeronautical,35,-0.17,0.47,0.55,0.88
aeronautics,35,-0.17,0.47,0.53,0.86
aeroparque,22,0.37,0.21,0.50,0.78
aeroplan,36,-0.10,0.57,0.53,0.95
aeroplane,0,-0.11,0.56,0.62,0.98
aerospace,35,-0.17,0.47,0.69,0.90
aerospace-3d-printing-market,10,-0.19,0.51,0.65,0.89
